Model,Mode,Class,Precision,Recall,F1-Score,Support
resnet50,auto,Fire,0.9844,0.996,0.9902,253
resnet50,auto,Normal,0.996,0.9842,0.9901,253
resnet50,auto,Smoke,1.0,1.0,1.0,253
resnet50,manual,Fire,0.996,0.9881,0.9921,253
resnet50,manual,Normal,0.9882,0.996,0.9921,253
resnet50,manual,Smoke,1.0,1.0,1.0,253
resnet50,optimal,Fire,0.996,0.9881,0.9921,253
resnet50,optimal,Normal,0.9882,0.996,0.9921,253
resnet50,optimal,Smoke,1.0,1.0,1.0,253
vit_base,auto,Fire,0.9879,0.9684,0.978,253
vit_base,auto,Normal,0.969,0.9881,0.9785,253
vit_base,auto,Smoke,1.0,1.0,1.0,253
vit_base,manual,Fire,0.9918,0.9565,0.9738,253
vit_base,manual,Normal,0.9579,0.9881,0.9728,253
vit_base,manual,Smoke,0.9961,1.0,0.998,253
vit_base,optimal,Fire,0.9419,0.9605,0.9511,253
vit_base,optimal,Normal,0.9633,0.9328,0.9478,253
vit_base,optimal,Smoke,0.9883,1.0,0.9941,253
mobilenetv3,auto,Fire,0.992,0.9842,0.9881,253
mobilenetv3,auto,Normal,0.9843,0.9921,0.9882,253
mobilenetv3,auto,Smoke,1.0,1.0,1.0,253
mobilenetv3,manual,Fire,0.992,0.9763,0.9841,253
mobilenetv3,manual,Normal,0.9767,0.9921,0.9843,253
mobilenetv3,manual,Smoke,1.0,1.0,1.0,253
mobilenetv3,optimal,Fire,0.984,0.9723,0.9781,253
mobilenetv3,optimal,Normal,0.9727,0.9842,0.9784,253
mobilenetv3,optimal,Smoke,1.0,1.0,1.0,253
